total_sample_size,method,minimum_detectable_order_effect
5000,Unadjusted,0.06898187176176762
5000,CUPED,0.0645503998801246
10000,Unadjusted,0.0487775493016867
10000,CUPED,0.0456440254835394
15000,Unadjusted,0.03982670223086078
15000,CUPED,0.037268190747087926
20000,Unadjusted,0.03449093588088381
20000,CUPED,0.0322751999400623
25000,Unadjusted,0.030849630894897114
25000,CUPED,0.028867816421350573
30000,Unadjusted,0.02816173121973906
30000,CUPED,0.026352590399819617
35000,Unadjusted,0.026072696807626593
35000,CUPED,0.024397757873226178
40000,Unadjusted,0.02438877465084335
40000,CUPED,0.0228220127417697
45000,Unadjusted,0.022993957253922538
45000,CUPED,0.02151679996004153
50000,Unadjusted,0.021813983202883774
50000,CUPED,0.020412628749585365
55000,Unadjusted,0.02079881690638142
55000,CUPED,0.01946267786088868
60000,Unadjusted,0.01991335111543039
60000,CUPED,0.018634095373543963
